variable,Perm_mean,Perm_std
estu_genero,0.0391071428571429,0.007605969057662712
inst_origen,0.03592857142857147,0.006157374871332946
estu_valormatriculauniversidad,0.034607142857142906,0.00768803403653617
edad,0.027678571428571476,0.007609322290078517
inst_caracter_academico,0.014892857142857185,0.0033977408460832996
estu_pagomatricula,0.008142857142857169,0.005037613623572989
fami_ocupacionmadre,0.007071428571428612,0.003592083131622904
fami_ocupacionpadre,0.005642857142857183,0.0036133256771262103
fami_tienemotocicleta,0.00442857142857146,0.0033624577988399474
fami_estratovivienda,0.003607142857142892,0.0033690896850814803
fami_tieneautomovil,0.0019642857142857517,0.0019015970731391428
fami_tienecomputador,0.0013214285714286123,0.0017681276849266553
fami_tieneinternet,0.00021428571428575572,0.002214285714285703
estu_horassemanatrabaja,-0.00032142857142852257,0.005822523998601101
estu_metodo_prgm,-0.0008928571428570786,0.0007098073897982497
fami_educacionpadre,-0.0009285714285713897,0.004097659859789556
estu_tituloobtenidobachiller,-0.00524999999999996,0.0036089104580021873
fami_educacionmadre,-0.006357142857142811,0.003957039709847018
