FAMI_EDUCACIONPADRE,N,%,Media,Desv_Est
Educación profesional completa,2597,16.6,144.72,33.17
Educación profesional incompleta,730,4.7,140.98,31.96
Ninguno,490,3.1,128.97,29.6
No Aplica,151,1.0,138.74,30.9
No sabe,262,1.7,143.68,32.79
Postgrado,1131,7.2,151.03,32.33
Primaria completa,687,4.4,131.66,29.8
Primaria incompleta,1550,9.9,129.93,27.85
Secundaria (Bachillerato) completa,3372,21.5,137.81,30.17
Secundaria (Bachillerato) incompleta,1322,8.4,134.29,28.29
Técnica o tecnológica completa,2096,13.4,138.85,31.12
Técnica o tecnológica incompleta,871,5.6,135.52,28.56
