FAMI_OCUPACIONPADRE,N,%,Media,Desv_Est
Empleado con cargo como director o gerente general,383,2.4,149.96,34.86
Empleado de nivel auxiliar o administrativo,354,2.3,140.02,32.72
Empleado de nivel directivo,209,1.3,145.94,35.83
Empleado de nivel técnico o profesional,2248,14.3,143.74,31.57
Empleado obrero u operario,1768,11.3,137.13,30.14
Empresario,480,3.1,142.84,33.14
Hogar,366,2.3,133.57,31.24
Otra actividad u ocupación,1986,12.7,136.41,30.63
Pensionado,1460,9.3,137.73,31.4
Pequeño empresario,522,3.3,142.15,32.66
Profesional independiente,804,5.1,144.68,32.32
Trabajador por cuenta propia,4968,31.7,135.34,30.06
